                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3191,                 4.4065,                  3.729,                 1.8508,                0.00192,                0.23711,                0.00134,                0.00041,                0.00067,                0.08247,                0.01543,                0.00622,                 2.4794,                  6.447,                 4.1442,                  2.498,                0.00028,                0.00028,                0.00028
                      2,                 1.9201,                 3.1168,                 2.5395,                  1.414,                 0.0045,                 0.5567,                0.02657,                0.01588,                  0.003,                0.37113,                0.03257,                0.01669,                 2.3094,                 4.5272,                 3.9653,                 2.3302,             0.00057713,             0.00057713,             0.00057713
                      3,                 1.7864,                 3.0001,                 2.3721,                 1.3952,                0.01632,                0.02062,                0.03203,                0.01908,                0.01632,                0.02062,                 0.0301,                0.02157,                 2.2612,                 3.9514,                 3.7592,                 2.0399,             0.00087129,             0.00087129,             0.00087129
                      4,                 1.8276,                 2.7555,                 2.1636,                 1.4462,                 0.0151,                0.01031,                0.00343,                0.00127,                0.00283,                0.35052,                0.00202,                0.00077,                 2.4155,                 4.9729,                 6.7057,                 2.6611,              0.0011625,              0.0011625,              0.0011625
                      5,                 1.7787,                 2.7265,                  2.099,                 1.3933,                0.24286,                0.20619,                0.11141,                0.04309,                 0.2045,                0.17526,                0.06611,                 0.0209,                  2.323,                 4.7346,                 3.1471,                 1.9251,              0.0014507,              0.0014507,              0.0014507
                      6,                 1.7902,                 2.7217,                 2.0366,                 1.3933,                  0.032,                0.19588,                0.02492,                0.00794,                0.03264,                 0.1134,                0.01686,                0.00535,                 2.5236,                 4.1647,                 4.0119,                 2.1967,              0.0017359,              0.0017359,              0.0017359
                      7,                 1.8069,                  2.758,                 1.9898,                 1.4076,                0.07322,                0.07216,                0.04412,                0.02192,                0.02266,                0.16495,                0.01501,                0.00453,                 2.2838,                 4.3309,                 7.6167,                 1.9872,              0.0019406,              0.0019406,              0.0019406
                      8,                  1.858,                 2.8219,                 2.0227,                 1.4415,                 0.0569,                0.21649,                0.04275,                0.01577,                0.05476,                0.09278,                0.02468,                0.00586,                 2.2435,                 4.0712,                 6.8005,                 1.9609,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.8016,                 2.6133,                 1.8956,                 1.4034,                0.15063,                0.30928,                0.12288,                0.04326,                0.11443,                0.27835,                0.08075,                0.02162,                  2.275,                 4.6637,                 3.3479,                 1.8825,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7954,                 2.6886,                 1.8743,                 1.3994,                0.16697,                0.19588,                0.10223,                0.04557,                0.13279,                0.19588,                0.07936,                0.01868,                 2.2971,                 4.7251,                 2.9303,                 1.8257,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.7608,                 2.6897,                 1.8798,                  1.396,                0.18847,                0.20619,                0.12785,                0.04583,                0.15989,                0.15464,                0.08328,                0.02304,                 2.1381,                 4.6421,                 2.6534,                 1.7631,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.7473,                 2.6349,                 1.7771,                 1.3676,                 0.1688,                0.42268,                0.12811,                0.04794,                0.12484,                0.30928,                0.06587,                 0.0202,                 2.3121,                 6.1528,                  3.204,                 1.9664,               0.001901,               0.001901,               0.001901
                     13,                 1.7435,                 2.5271,                 1.8465,                 1.3828,                0.22782,                0.23711,                0.12358,                  0.042,                 0.1838,                0.18557,                0.07771,                 0.0221,                 2.3481,                 5.4078,                 2.7883,                 1.9296,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.6769,                 2.4828,                 1.7499,                 1.3298,                0.18024,                0.34021,                0.15187,                 0.0596,                0.30409,                0.18557,                0.13594,                0.04223,                 2.2696,                 4.1709,                 2.8645,                 1.7521,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.6926,                 2.5743,                 1.6915,                 1.3033,                0.26795,                0.20619,                0.13313,                0.06199,                0.26795,                0.20619,                0.13246,                0.04643,                 2.1922,                 3.9956,                  3.196,                 1.8207,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.6852,                 2.5408,                 1.6095,                 1.3077,                0.36444,                0.23711,                0.21669,                0.09268,                0.32135,                0.20619,                 0.1815,                0.06525,                 2.1926,                  3.326,                 3.0436,                 1.8102,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.7141,                  2.421,                 1.6048,                 1.3397,                0.30017,                0.43299,                0.30066,                0.12639,                0.28541,                0.38144,                0.24134,                0.07958,                 2.0788,                 3.2088,                  2.374,                 1.7718,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.7064,                 2.5443,                 1.6186,                 1.3501,                0.27677,                0.29897,                0.20325,                 0.0864,                0.24697,                0.30928,                0.16535,                0.05517,                 2.0647,                 3.2106,                  2.653,                 1.7425,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.6821,                 2.6232,                 1.6114,                 1.2889,                0.21893,                0.30928,                0.15561,                0.05413,                0.22272,                0.27835,                0.12739,                0.03923,                 2.2197,                 3.5379,                 2.9994,                 1.7904,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.6662,                 2.4433,                 1.5242,                 1.2805,                0.32041,                0.29897,                0.29281,                0.11917,                 0.2703,                0.28643,                0.26578,                0.09505,                 2.2102,                 3.7466,                 2.5465,                 1.7986,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.6582,                 2.4622,                 1.4883,                 1.2883,                0.34956,                0.30928,                0.25905,                  0.105,                0.25827,                0.19588,                0.17852,                0.06131,                 2.1037,                 3.7385,                 2.5517,                 1.7436,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.6377,                 2.5297,                 1.5134,                 1.3069,                 0.3403,                0.23711,                0.22002,                0.09568,                0.27587,                0.18557,                0.15332,                0.05224,                 2.1563,                 3.9206,                 2.6952,                 1.7794,               0.001802,               0.001802,               0.001802
                     23,                 1.6924,                 2.5047,                 1.4794,                 1.3169,                0.22495,                0.48454,                0.24131,                 0.1008,                0.21612,                0.45361,                0.20302,                0.07618,                 2.1667,                 3.2299,                 2.4665,                 1.8008,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.6655,                 2.4899,                 1.5203,                 1.3085,                 0.2602,                0.30928,                0.24151,                0.09304,                0.54079,                0.17526,                 0.2027,                0.07508,                  2.098,                 3.3379,                 2.4654,                 1.8451,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.6825,                 2.5207,                  1.515,                 1.3399,                0.18368,                 0.2268,                0.14146,                0.06017,                0.16528,                0.19588,                0.12265,                0.03831,                 2.1587,                 3.4038,                 2.6726,                  1.814,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.6355,                 2.4618,                  1.534,                 1.2957,                0.33433,                0.29516,                0.20104,                0.08566,                0.30768,                0.24742,                0.13165,                0.03534,                 2.2253,                 4.1261,                 2.5568,                 1.7284,              0.0017624,              0.0017624,              0.0017624
                     27,                  1.637,                 2.4731,                 1.4462,                 1.2849,                0.41205,                0.42268,                0.35491,                0.14906,                0.33125,                0.42268,                0.30873,                0.10652,                 1.9646,                 3.2916,                 2.0702,                 1.5015,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.6538,                 2.4911,                 1.4315,                  1.306,                0.49024,                 0.2268,                0.20963,                 0.0907,                0.46573,                0.21649,                0.18583,                0.07079,                 2.1827,                 3.4933,                 2.8471,                  1.814,              0.0017426,              0.0017426,              0.0017426
                     29,                  1.634,                 2.4086,                  1.404,                 1.2851,                0.27585,                0.38144,                0.23897,                0.09857,                0.26844,                0.36082,                0.19862,                0.06684,                 2.1145,                 3.2425,                 2.3399,                 1.7568,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.6191,                 2.4013,                 1.3444,                 1.2682,                0.50604,                0.29576,                0.30317,                0.12895,                0.48477,                0.28866,                0.25491,                 0.0994,                  2.055,                 3.1058,                 2.3624,                 1.6901,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.6269,                 2.4207,                 1.3969,                 1.2966,                0.26533,                0.41328,                0.24648,                0.10445,                0.32965,                 0.2268,                0.19951,                0.07575,                 2.1501,                 3.3633,                 2.4129,                 1.7732,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.6208,                  2.278,                 1.3722,                 1.2819,                0.25557,                0.20619,                0.14997,                0.07248,                0.24983,                0.20946,                0.12701,                0.04718,                  2.136,                 3.9495,                 2.8834,                 1.8247,               0.001703,               0.001703,               0.001703
                     33,                  1.581,                  2.359,                 1.3026,                 1.2704,                0.44769,                0.26804,                 0.2605,                0.09924,                0.36322,                0.24742,                0.20897,                0.07441,                 2.1664,                 3.7113,                 2.5318,                 1.8651,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.6472,                 2.4548,                 1.4024,                 1.3008,                0.23501,                 0.2268,                0.12175,                0.04652,                0.23501,                 0.2268,                0.11148,                0.04109,                 2.2299,                 3.6892,                 3.1851,                 2.0103,              0.0016832,              0.0016832,              0.0016832
